id,course_number,course_name,created_at,updated_at
1,28620,Crony Capitalism,2017-11-15 03:29:31 UTC,2017-11-15 03:29:31 UTC
2,30000,Financial Accounting,2017-11-15 03:29:31 UTC,2017-11-15 03:29:31 UTC
3,30001,Cost Analysis and Internal Controls,2017-11-15 03:29:31 UTC,2017-11-15 03:29:31 UTC
4,30116,Accounting and Financial Analysis I,2017-11-15 03:29:31 UTC,2017-11-15 03:29:31 UTC
5,30118,Taxes and Business Strategy,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
6,30120,"Accounting, Economic, and Regulatory Issues in Complex Deals ",2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
7,30121,Accounting for Entrepreneurship:  From Start-Up through IPO,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
8,30130,Financial Statement Analysis,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
9,30600,Workshop in Accounting Research,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
10,30901,Economic Modeling of Accounting Issues,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
11,30902,Empirical Research in Accounting,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
12,30903,"Topics Empirical Acct Research: Disclosure, Reporting and Transparency Issues Mkts and Reg",2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
13,30904,Empirical Research on Managers Corporate Financial Reporting Decisions,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
14,31701,Leadership Effectiveness and Development (LEAD) Lab I,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
15,31702,Leadership Effectiveness and Development (LEAD) Lab II,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
16,33001,Microeconomics,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
17,33002,Accelerated Microeconomics,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
18,33032,Managing the Workplace,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
19,33040,Macroeconomics,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
20,33101,Advanced Microeconomic Analysis,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
21,33112,Business in Historical Perspective,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
22,33113,History of Economic Ideas,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
23,33222,Sports Analytics,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
24,33305,The Firm and the Non-Market Environment,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
25,33310,Employment Law for Entrepreneurs and Managers,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
26,33314,Big Problems,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
27,33315,Some Critical Concepts Executives Need To Know About Employment Law and Regulation ,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
28,33401,Money and Banking,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
29,33450,Real Estate Investments I,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
30,33451,Real Estate Investments II,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
31,33471,"Business, Politics, and Ethics",2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
32,33501,International Commercial Policy,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
33,33502,International Financial Policy,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
34,33503,Managing the Firm in the Global Economy,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
35,33520,The Wealth of Nations,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
36,33610,Applied Economics Workshop,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
37,33650,Workshop in Macro and International Economics,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
38,33701,Energy Policy Practicum,2017-11-15 03:29:32 UTC,2017-11-15 03:29:32 UTC
39,33902,Numerical Methods in Economics,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
