id,number,name,subject
,28620,Crony Capitalism,
,30000,Financial Accounting,
,30001,Cost Analysis and Internal Controls,
,30116,Accounting and Financial Analysis I,
,30118,Taxes and Business Strategy,
,30120,"Accounting, Economic, and Regulatory Issues in Complex Deals ",
,30121,Accounting for Entrepreneurship:  From Start-Up through IPO,
,30130,Financial Statement Analysis,
,30600,Workshop in Accounting Research,
,30901,Economic Modeling of Accounting Issues,
,30902,Empirical Research in Accounting,
,30903,"Topics Empirical Acct Research: Disclosure, Reporting and Transparency Issues Mkts and Reg",
,30904,Empirical Research on Managers Corporate Financial Reporting Decisions,
,31701,Leadership Effectiveness and Development (LEAD) Lab I,
,31702,Leadership Effectiveness and Development (LEAD) Lab II,
,33001,Microeconomics,
,33002,Accelerated Microeconomics,
,33032,Managing the Workplace,
,33040,Macroeconomics,
,33101,Advanced Microeconomic Analysis,
,33112,Business in Historical Perspective,
,33113,History of Economic Ideas,
,33222,Sports Analytics,
,33305,The Firm and the Non-Market Environment,
,33310,Employment Law for Entrepreneurs and Managers,
,33314,Big Problems,
,33315,Some Critical Concepts Executives Need To Know About Employment Law and Regulation ,
,33401,Money and Banking,
,33450,Real Estate Investments I,
,33451,Real Estate Investments II,
,33471,"Business, Politics, and Ethics",
,33501,International Commercial Policy,
,33502,International Financial Policy,
,33503,Managing the Firm in the Global Economy,
,33520,The Wealth of Nations,
,33610,Applied Economics Workshop,
,33650,Workshop in Macro and International Economics,
,33701,Energy Policy Practicum,
,33902,Numerical Methods in Economics,
,33911,The Economics of Information,
,33921,Advanced Industrial Organization I,
,33922,Advanced Industrial Organization II,
,33923,Advanced Industrial Organization III,
,33942,Applied Macroeconomics: Micro Data for Macro Models,
,33947,Applied Macroeconomics II,
,33949,Applied Macroeconomics: Heterogeneity and Macro,
,34101,Entrepreneurial Finance and Private Equity,
,34102,New Venture Strategy,
,34103,Building the New Venture,
,34104,Special Topics in Entrepreneurship: Developing a New Venture (New Venture Challenge),
,34106,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,
,34108,Innovation Leadership,
,34110,Social Enterprise Lab,
,34111,Entrepreneurial Selling,
,34112,Impact Investing,
,34115,New Social Ventures,
,34302,Entrepreneurship through Acquisition,
,34501,Entrepreneurship for Science and Medicine,
,34701,New Venture and Small Enterprise Lab,
,34702,Private Equity/Venture Capital Lab,
,34704,Real Estate Lab: Real Estate Challenge,
,34705,Entrepreneurial Discovery,
,34706,Energy and CleanTech Lab,
,34721,Global Social Impact Practicum,
,34722,Scaling Social Innovation Search Lab,
,35000,Investments,
,35001,Introductory Finance,
,35100,Financial Instruments,
,35101,"Futures, Forwards, Options and Swaps: Theory and Practice",
,35120,Portfolio Management,
,35121,Behavioral Finance,
,35122,Hedge Fund Investing,
,35123,The FinTech Revolution,
,35125,Quantimental Investment,
,35130,Fixed Income Asset Pricing,
,35132,Advanced Models of Option Pricing and Credit Risk,
,35134,Fixed Income Investments: Corporate and Sovereign Bonds,
,35200,Corporation Finance,
,35201,Cases in Financial Management,
,35202,Financial Markets and Institutions,
,35210,International Corporate Finance,
,35211,The Analytics of Financial Crises,
,35214,"Debt, Distress, and Restructuring",
,35215,Behavioral and Institutional Finance,
,35219,Chinese Economy and Financial Markets,
,35600,Seminar:  Finance,
,35601,Applied Theory Workshop,
,35901,Theory of Financial Decisions I,
,35902,Theory of Financial Decisions II,
,35903,Theory of Financial Decisions III,
,35904,Asset Pricing,
,35906,Behavioral Finance,
,35907,Topics in Asset Pricing,
,35908,Research Projects: Finance,
,35916,New Developments in Public Finance,
,35930,Research Seminar,
,35931,Research Seminar,
,35932,Research Seminar,
,36106,Managerial Decision Modeling,
,36108,Data Analysis with Python,
,36110,Application Development,
,36600,Workshop in Operations/Management Science,
,36900,Linear Programming,
,36902,Dynamic Programming/Markov Decision Processes,
,36903,Convex Optimization,
,36905,Approximate Dynamic Programming,
,36906,Stochastic Processes,
